producer_id,performer_id,song_id,album_id
110,459,131845,36312
110,13585,139968,31784
110,609667,2992529,380861
110,1421,722278,120991
110,2069,3120234,344158
110,1408735,3786530,438392
110,110,154031,84179
110,85,433098,108787
110,685,133410,18842
110,1254058,3298826,378899
110,44080,3383633,369295
110,652275,52022,350432
110,1985,2842078,164538
110,2,179701,36559
110,26507,3681285,393916
110,72,2421955,120604
110,498,299368,65407
110,26507,3681276,393916
110,2197,356525,41797
110,1421,90477,491200
110,26507,3690801,393916
110,1985,78957,17873
110,41579,2884343,325258
110,820,152925,30268
110,1258177,3279181,
110,14325,160321,36890
110,139478,3892702,
110,2,181082,36559
110,69,2378981,366010
110,1408735,3786536,438392
110,26507,3418569,393916
110,85,449654,108787
110,46,1113,9351
110,2,63171,
110,20185,3876988,152654
110,2,180837,36559
110,217208,3209332,347955
110,686,124806,328570
110,26507,3681281,393916
110,110,2038091,350243
110,223925,2494601,259896
110,338,164513,
110,643,52057,11337
110,1985,78969,17873
110,13585,151357,31784
110,338,147561,10784
110,498,299152,65407
110,1476819,3037074,451113
110,68,2867466,152011
110,2,24440,4066
110,1529,2368201,
110,110,370411,84179
110,362,385645,89036
110,820,3835465,433528
110,1254058,3588100,
110,2,1341,4095
110,7922,506780,500844
110,1893,4385,6076
110,148,174384,29333
110,26507,3753346,393916
110,26507,3681288,393916
110,12418,397946,92635
110,492,178301,23080
110,652275,51898,350432
110,148,35301,7138
110,609667,3225333,499382
110,144,446608,6288
110,68,2846383,152011
110,2069,2971418,344158
110,326362,2900230,160467
110,2,91,4097
110,8200,232599,5907
110,110,49781,7142
110,11353,361995,30408
110,1985,89660,
110,29978,3455102,
110,46,5544,494227
110,334,3415577,390594
110,334,3415570,390594
110,5,2074,1598
110,492,2399183,
110,1745,530182,112997
110,110,370526,84179
110,747,3305618,
110,2,717,4097
110,643,218140,22349
110,32,162,7283
110,643,97969,22349
110,110,370517,84179
110,1282772,3304050,378899
110,2,693,4055
110,11170,47837,10487
110,12417,104309,16312
110,46,43033,9350
110,12418,455786,92635
110,46,1779939,118971
110,805,230496,43357
110,5,973,1597
110,665,351830,101436
110,805,230464,43357
110,685,3146662,352640
110,685,748259,122895
