producer_id|performer_id|song_id|album_id
14766|654932|3214267|370526
14766|1015803|2977800|329036
14766|345077|3349567|
14766|654932|3121471|370526
14766|1015803|2977816|329036
14766|1480576|3891788|452568
14766|656173|3675703|393420
14766|334508|2857718|221656
14766|654932|3246992|370526
14766|654932|3587995|
14766|334508|2820919|365604
14766|569922|3250288|
14766|26145|3298999|442470
14766|504333|2148901|133871
14766|654932|3261776|370526
14766|654932|3166893|370526
14766|1015803|2977787|329036
14766|227307|3033496|345610
14766|654932|3261777|370526
14766|334508|2862056|221656
14766|659313|2922676|
14766|1219483|3302735|
14766|4|3471075|390638
14766|1086499|3001994|332888
14766|616725|2467983|151469
14766|654932|3590357|
14766|227307|3126616|395089
14766|659313|3026544|338033
14766|334508|2862058|221656
14766|654932|3594338|
14766|1489346|3604098|
14766|569922|3009380|
14766|640257|2438767|497379
14766|640257|2843897|160558
14766|36095|426950|27323
14766|1178846|3107295|
14766|569922|3400465|
14766|396531|3096981|371926
14766|334508|2837837|365604
14766|659313|3042137|338033
14766|659313|2997025|338033
14766|659313|3042064|338033
14766|334508|2862059|221656
14766|659313|2973124|289890
14766|659313|2972314|289890
14766|78740|2918306|304999
14766|659313|3041972|338033
14766|646901|3010034|
14766|659313|3114942|360887
14766|1256253|3310415|
14766|659313|3314915|
14766|520363|3250171|159004
14766|234513|3334293|391946
14766|659313|3180845|360887
14766|78740|2918354|304999
14766|1110995|3178940|
14766|1086499|3002233|332888
14766|659313|3182921|360887
14766|640257|2424899|160558
14766|78740|2918359|304999
14766|234513|3190477|362219
14766|654932|3594336|
14766|520371|2958576|325870
14766|31861|2993315|333500
14766|659313|3042074|338033
14766|334508|2862142|221656
14766|640|3376847|387930
14766|659313|3039165|338033
14766|659313|3172879|360887
14766|378700|3013558|385356
14766|78740|2918784|304999
14766|569922|3642384|
14766|7417|58922|20715
14766|346237|3325451|
14766|659313|2972324|289890
14766|1065712|3088382|
14766|334508|2897845|287619
14766|45120|3993458|
14766|640257|3119359|346077
14766|1257119|3678515|
14766|1086499|3002225|332888
14766|24750|3244641|441828
14766|1667921|3924796|
14766|163780|3372739|
14766|334508|3064901|
14766|1082215|2996003|
14766|1180844|3785418|357294
14766|520371|3273146|374134
14766|334508|2869395|
14766|931|145006|4832
14766|10292|2308928|
14766|646901|2920788|304562
14766|332783|714389|
14766|1069179|3752268|
14766|778467|2942892|
14766|1086499|3002238|332888
14766|520371|2958593|325870
14766|659313|3191111|360887
14766|1383274|3515177|
14766|520371|3058008|434602
14766|3740|3258190|371926
14766|1047976|2936052|
14766|1086499|3002229|332888
14766|520371|3108492|
14766|1015803|4296693|
14766|1052023|2981682|429265
14766|15346|2845160|141175
14766|1415851|3801250|449530
14766|1447229|3651099|424315
14766|308618|3074190|
14766|22610|3536986|
14766|3740|3244454|371926
14766|160019|2383795|
14766|15346|3066346|
14766|1235738|3164563|356428
14766|1306574|3699511|
14766|181978|485764|
14766|634387|3003658|205111
14766|227307|3499932|395089
14766|14766|3760888|
14766|589732|3402029|
14766|1194|698034|119166
14766|1508704|3971052|439993
14766|641277|2450135|148305
14766|227307|3444171|395089
14766|1426428|3599039|
14766|1001796|3130532|353267
14766|1208248|3508862|401216
14766|1369374|3498955|
14766|3740|3258196|371926
14766|227307|3089137|
14766|1242835|3379391|375575
14766|1263939|3327194|
14766|671933|3389196|
14766|1009467|2871233|
14766|334195|4121468|483760
14766|657311|2997287|323319
14766|1273097|3358871|
14766|1430756|3610883|
14766|1303792|4096192|
14766|520363|4013733|
14766|227307|3182911|
14766|1493169|3765721|
14766|1325562|3447371|
14766|1177671|3165605|
14766|1301001|3399037|
14766|619781|3674341|425830
14766|572103|3405348|390962
14766|1259654|3317734|
14766|1319835|3739187|
14766|628214|3629251|
14766|1269625|3359168|383874
14766|1344406|3425860|
14766|659313|3796887|
14766|1276261|3660815|421320
14766|323595|2426462|139048
14766|27905|3545667|379297
14766|1045344|3083048|
14766|1135727|3114447|
14766|1326766|3451854|
14766|640257|3952288|
14766|1393745|3526489|
14766|1303737|3403761|
14766|64951|3621851|
14766|650314|3896288|
14766|3740|3108558|334980
14766|1418481|3578913|
14766|1303565|3404493|394219
14766|1213639|3397862|407028
14766|323595|2422998|139048
14766|579808|3390789|
14766|1030324|3345181|384571
14766|1135319|3234535|
14766|1006067|3624685|
14766|1001796|3150228|351357
14766|1615800|3348245|
14766|1415851|3870155|449530
14766|1338581|3468236|
14766|1174098|3600194|
14766|1001796|3150231|351357
14766|1402072|3755858|434719
14766|1421670|3586828|
14766|1021626|2891465|
14766|1018691|3070295|
14766|1422937|3766048|
14766|1317841|3433566|
14766|610210|3827025|443895
14766|1670269|4250998|
14766|15346|3998268|
14766|647352|3566367|
14766|1721186|4291927|502276
14766|396560|1783149|
14766|1618024|4047122|
14766|1676930|4234735|
14766|35226|4106597|
14766|1229234|3702820|372505
14766|1495453|3770824|
14766|1210043|3223468|
14766|1001796|3150226|351357
14766|64951|3810498|441083
14766|1009467|2873293|
14766|1588004|3980487|
14766|641277|2450149|148305
14766|1246589|3289189|
14766|1522595|3878861|450714
14766|1599819|4103551|483265
14766|1001145|2860617|221269
14766|1077388|3843149|
14766|551983|3101257|
14766|1165312|3889888|
14766|647090|3053658|
14766|1596836|4001772|467428
14766|1066833|3526620|403357
14766|1246589|3289196|
14766|1435472|3622672|416181
14766|1479821|3910751|
14766|42417|2998580|
14766|44543|2321747|132361
14766|1553419|3898889|
14766|1658839|4138546|
14766|1720064|4289140|
14766|1471946|3886332|
14766|646997|4104344|
14766|1592846|3991842|
14766|1710044|4283273|
14766|1249099|3582319|415638
14766|1573330|4306160|
14766|68600|3653515|
14766|978628|3862952|
14766|1307580|4029314|396741
14766|659313|4299600|
14766|1554851|4272294|500335
14766|1665682|4154319|
14766|659313|4299587|
14766|996662|4329246|
932957|34532|2332450|150899
932957|42|54088|9859
932957|42|122|9855
932957|158|2823876|148977
932957|42|85847|24112
932957|649478|2439141|149023
932957|4|132138|24685
932957|1408735|3786521|438392
932957|42|746|9857
932957|4|49157|10768
932957|649478|2479190|
932957|1408735|3786539|438392
932957|42|97995|24112
932957|1408735|3786541|438392
932957|158|2825554|148977
932957|158|3110340|330126
932957|42|97996|24112
932957|4|49159|10768
932957|4|131918|24685
932957|42|5352|9859
932957|2274|3296504|395007
932957|1319|2479971|
932957|42|54090|9859
932957|471|3599761|407759
932957|649478|2905080|149023
932957|4|3985377|98888
932957|42|98001|24112
932957|4|54737|10768
932957|1583|325756|73312
932957|455|376928|84291
932957|183|5123|3963
932957|42|2323569|132576
932957|4|1011|5002
932957|158|2825346|148977
932957|83|59655|
932957|4|2164329|127324
932957|554|65947|14119
932957|108|7048|147
932957|1408735|3786577|
932957|4|131853|24685
932957|554|132876|29201
932957|158|3117583|330126
932957|42|101590|24112
932957|158|3117577|330126
932957|158|2826274|148977
932957|88|80549|12560
932957|42|2309324|120983
932957|42|101423|24112
932957|396|792|10390
932957|86|5101|584
932957|83|70157|
932957|4|1471|5027
932957|4|234|11095
932957|1403|5106|23146
932957|42|2860586|157040
932957|1665|2334106|122463
932957|42|2309326|120983
932957|554|85646|16196
932957|42|44994|9857
932957|1343625|2832015|149023
932957|158|989|2460
932957|4|3172|5028
932957|158|239874|31909
932957|34532|2819852|
932957|1421|66749|14126
932957|34532|2849005|
932957|1397|3262521|337019
932957|554|132881|29201
932957|42|4710|9857
932957|38|4881|4235
932957|42|99415|24198
932957|4|3218|5028
932957|1180737|3167486|
932957|338|9055|
932957|4|399|5037
932957|56|34888|76781
932957|42|70556|15983
932957|42|100715|24198
932957|42|234963|34769
932957|4|28614|5001
932957|83|2825338|140641
932957|12076|2467096|147976
932957|118|278286|46378
932957|10889|58459|35493
932957|396|3046800|152964
932957|460|342328|76013
932957|88|3771|8753
932957|649478|2975958|149023
932957|42|2390663|141625
932957|42|53153|11655
932957|998928|2853161|
932957|649478|2652016|
932957|42|235218|34769
932957|1583|515226|73312
932957|42|49142|9857
932957|42|70672|
932957|83|19673|3044
932957|11647|64789|14656
932957|158|85046|20215
932957|1403|489822|347905
932957|4|6129|5028
932957|20|21053|3342
932957|396|2653|10388
932957|11647|96059|11113
932957|1397|3262517|337019
932957|83|3711768|428391
932957|67|859|10625
932957|42|49241|10828
932957|197|3669|10664
932957|4|28714|5028
932957|1583|1788315|124141
932957|42|2735659|
932957|7922|367662|26119
932957|358|73854|6014
932957|83|3356654|428391
932957|1183|741943|120395
932957|649478|2975955|149023
932957|1183|740231|120395
932957|42|59162|11010
932957|42|2390665|141625
932957|373|4377|9754
932957|15369|3684517|402711
932957|1183|749514|120395
932957|88|40224|8753
932957|83|19693|3048
932957|1183|2922610|309110
932957|1183|740765|120395
932957|1183|2770734|157802
932957|4|28717|5028
932957|83|19775|45256
932957|649478|2975963|149023
932957|42|45008|
932957|117|46333|10145
932957|649478|2975957|149023
932957|83|19736|3055
932957|1183|888512|157802
932957|1183|2384509|134210
932957|4|3088569|
932957|158|17373|2462
932957|83|19691|3048
932957|1183|912231|123285
932957|2588|3422213|392849
932957|438|303353|1549
932957|1183|2922602|309110
932957|42|53648|11655
932957|438|71006|1551
932957|1406|52052|28810
932957|38940|2883929|223529
932957|158|17364|2460
932957|42|70634|15983
932957|4|2949719|5001
932957|1183|2770749|157802
932957|1183|2811110|157802
932957|523|18106|2642
932957|1183|2740698|157802
932957|6757|32755|6433
932957|38940|2886751|223529
932957|649478|2975970|149023
932957|127|41511|9031
932957|6757|437779|6433
932957|111|496351|12805
932957|1183|2817825|157802
932957|80|4105703|477400
932957|148843|2451321|
932957|83|19666|3044
932957|24193|3110009|
932957|1098753|3020112|335098
932957|83|75324|3046
932957|15927|2836221|
932957|42|117295|11010
932957|42|50304|11010
932957|158|345467|2460
932957|780|361761|82541
932957|83|19670|3044
932957|4|317213|21532
932957|286|42661|9277
932957|1281|2841661|
932957|115|13486|1468
932957|403|3859942|448200
932957|20906|2848232|
932957|1819|741473|229229
932957|338|230944|557
932957|1083|22003|3530
932957|396660|2938692|
932957|183|23987|3967
932957|649478|3285332|
932957|83|62749|3046
932957|115|1070846|1454
932957|2751|1850000|322287
932957|168690|2845889|
932957|42|117238|11010
932957|547|26318|4502
932957|1858|18752|22310
932957|81315|2834952|
932957|42|96020|11010
932957|42|117242|11010
932957|13346|1119158|483705
932957|42|117211|11010
932957|43344|2863293|
932957|250|20305|3185
932957|379|46241|10124
932957|42|2878262|108106
932957|547|213004|4502
932957|1490741|3781918|
932957|373|44580|9754
932957|249544|2831220|287814
932957|645|13646|1515
932957|6757|1382897|6433
932957|83|19668|3044
932957|5|2290989|34625
932957|83|19665|3044
932957|614|48655|10684
932957|6757|972034|6433
932957|651518|2843552|
932957|83|2046203|40374
932957|383|888059|1906
932957|460|188353|228
932957|1049361|2938709|322112
932957|144|1688045|6059
932957|187274|3250596|
932957|379|1146038|10122
932957|83|1858281|40374
932957|6757|866126|6433
932957|6757|1315594|6433
932957|1010567|3137666|344494
932957|196|2955480|325281
932957|83|786244|
932957|6757|1260689|6433
932957|6757|1375228|6433
932957|3443|1194323|204783
932957|6757|1744253|6433
932957|6757|1318569|6433
932957|492|3605255|
932957|6757|1333135|6433
932957|578545|3232094|
932957|2233|4082968|477665
932957|470143|2853902|206149
932957|1490771|3773001|
932957|25155|3162018|355833
932957|510971|2835842|163059
932957|1180905|3167928|344494
932957|1243032|3341572|376593
932957|994479|2969846|326336
932957|2223|3875158|14208
932957|1569338|3988877|
932957|677999|2823160|
932957|383|3500833|1906
932957|1644253|4104872|481406
932957|6757|4125645|
932957|1492890|3764999|
932957|1570273|3942707|
6708|72|2428259|120604
6708|22|1517|7216
6708|2|24440|4066
6708|82|366|7781
6708|2|199|4071
6708|108|257|134
6708|249|5037|5438
6708|22|254|7216
6708|22|2271|7216
6708|20185|2490173|
6708|82|38118|7781
6708|233|991|9875
6708|1080538|2958|331314
6708|249|316|5438
6708|34|4284|9875
6708|22|35607|7211
6708|56|34817|356343
6708|22|35643|7216
6708|82|38159|372797
6708|350633|38115|164021
6708|119|9295|642
6708|1319|2374937|
6708|22|1186|7211
6708|899|31930|5959
6708|249|3672|5438
6708|223|465901|104439
6708|411|28206|4921
6708|249|30493|5438
6708|1183|60708|11452
6708|204|20166|3151
6708|2274|2984003|430156
6708|103654|2320613|
6708|1080538|205139|
6708|249|30469|5434
6708|232|10749|935
6708|82|38127|7781
6708|82|38111|7777
6708|4825|46168|10103
6708|233|45090|9875
6708|82|38132|7781
6708|108|7029|143
6708|233|45087|9875
6708|82|38121|7781
6708|3258|32813|6197
6708|1541|1122493|6148
6708|10659|44094|36431
6708|249|30488|5438
6708|56|338250|7014
6708|2|2456029|4079
6708|249|30486|5438
6708|848|29088|5090
6708|9248|2397161|140528
6708|1113943|3045933|341329
6708|1080538|29781|331314
6708|1080538|29774|331314
6708|22|2889875|
6708|42|179858|13516
6708|249|30491|5438
6708|249|30495|5438
6708|1275201|3607470|386749
6708|1275201|3682667|386749
6708|338|8996|567
6708|233|45102|9875
6708|3264|23781|3913
6708|1679|15491|1965
6708|3552|30116|5360
6708|2|2453230|4071
6708|3258|32328|6197
6708|232|10756|935
6708|748|21550|3440
6708|1080538|29782|331314
6708|4825|46170|10103
6708|56|3331819|
6708|6398|22243|3574
6708|3385|32787|6450
6708|3552|30115|5360
6708|1080538|29778|331314
6708|249|30480|5438
6708|233|1666647|9875
6708|8392|939406|6449
6708|232|10758|935
6708|82|946112|7777
6708|748|21554|3440
6708|53774|3249651|347004
6708|3961|22426|3614
6708|1080538|29773|331314
6708|358|3257804|6309
6708|8576|136433|359725
6708|1080538|29776|331314
6708|232|10744|933
6708|3264|23780|3913
6708|348410|821413|
6708|1080538|29792|331314
6708|233|1840810|
6708|6398|22265|
6708|117|32469|
6708|6708|29780|
6708|13093|3250256|13422
6708|233|45091|9875
6708|4825|46172|
6708|1080538|29777|331314
6708|388105|1457634|164915
6708|405245|15428|323314
6708|658490|2456127|
6708|8458|32652|
6708|353948|3274700|374692
6708|1105916|3036340|
6708|358|764519|6309
6708|6708|29770|
6708|1878|3286242|
6708|152211|378108|87216
6708|4825|588035|10103
6708|1080538|29771|
6708|1603255|4035109|502439
6708|6708|76017|
6708|6708|1842423|
6708|1275201|3682734|386749
6708|1402628|3567034|408389
6708|1080538|4208793|
6708|534104|2249560|
6708|6708|1660931|
6708|58702|231036|
6708|3840|4214411|4978
6708|6708|222871|
