27663|1|1|360842
3264|1|10|1320
4709|2|100|4057
72|2|100|4057
29978|16808|100004|25861
1954|161|10001|787
30206|14666|100018|24740
23132|358|100089|6014
2260|3685|10009|793
110|5|1001|1597
4617|5|1001|1597
2260|3685|10010|793
685|1462|100116|164986
27606|15829|100131|24778
27606|15829|100145|24778
27606|15829|100149|24778
1553|3685|10015|793
2268|15829|100152|24778
2260|3685|10016|794
2260|3685|10017|792
27822|260|100172|349757
4736|29988|100175|10974
1529|8392|1001812|
10418|5797|100182|9260
27473|19873|100183|23711
2260|3685|10021|792
29780|554|100216|24769
27869|16163|100219|16380
2260|3685|10022|792
2260|3685|10023|795
2260|3685|10025|795
10418|5797|100258|9260
4617|1421|100260|14126
2260|3685|10027|795
2268|72|1003|4343
4709|72|1003|4343
7161|72|1003|4343
72|72|1003|4343
7898|310|100307|16503
2260|3685|10031|795
110|310|100315|16503
112|42|100317|24198
17746|554|100321|24769
2260|3685|10033|795
509|1366|100338|24824
27606|16808|100339|
24741|15999|100375|19192
24741|15999|100376|19192
685|685|100395|
662|230|100402|24843
27472|2049|100417|20167
1553|1553|100429|24853
7573|1553|100429|24853
17746|4|100442|33502
4463|4463|100444|
17598|17598|1004644|40348
7573|24903|100503|20211
1553|1199921|1005069|7722
29978|1073|100513|24877
23315|30504|100534|24885
4736|1809|100540|24488
7561|1342|1005698|6075
27511|249529|1005719|17743
27765|1234|1005918|28296
4736|1809|100592|24488
224|30526|100594|24899
31695|28528|100596|23885
43747|28528|100596|23885
4736|1809|100597|24488
1529|1541|1006005|6148
4736|1809|100601|14770
4736|1809|100605|24488
4736|1809|100606|14770
16678|1809|100607|14770
39585|357|100629|15289
35149|2236|100652|
12991|30566|100656|24922
15870|14963|100660|24924
1529|5437|1006742|6136
27794|20785|1006821|17429
5898|310|100685|16503
72|42|100715|24198
932957|42|100715|24198
27612|22787|100719|24943
146|18|10072|803
15870|14963|100727|24924
170|30600|100729|24948
146|18|10073|803
3264|7418|1007306|121237
146|18|10074|803
27794|1167|1007402|462165
146|18|10075|803
146|18|10076|803
