95489,Murda Beatz,https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png,Shane Lee Lindstrom (born February 11, 1994), known professionally as Murda Beatz, is a Canadian producer from Fort Erie, Ontario. He started playing drums at age 6 and started making beats at 16.

Murda rose to fame by producing numerous songs for artist like Drake, Travis Scott, and the hip-hop trio Migos. He belongs to a new wave of Hip-Hop producers gaining high numbers on the Billboard Hot 100, with hits like “Portland” with Drake, Quavo and Travis Scott, “FEFE” with 6ix9ine and Nicki Minaj, “MotorSport” with Migos, Cardi B and Nicki Minaj, and another Drake record, “Nice For What”.
95489,Murda Beatz,https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png,Shane Lee Lindstrom (born February 11, 1994), known professionally as Murda Beatz, is a Canadian producer from Fort Erie, Ontario. He started playing drums at age 6 and started making beats at 16.

Murda rose to fame by producing numerous songs for artist like Drake, Travis Scott, and the hip-hop trio Migos. He belongs to a new wave of Hip-Hop producers gaining high numbers on the Billboard Hot 100, with hits like “Portland” with Drake, Quavo and Travis Scott, “FEFE” with 6ix9ine and Nicki Minaj, “MotorSport” with Migos, Cardi B and Nicki Minaj, and another Drake record, “Nice For What”.
95489,Murda Beatz,https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png,Shane Lee Lindstrom (born February 11, 1994), known professionally as Murda Beatz, is a Canadian producer from Fort Erie, Ontario. He started playing drums at age 6 and started making beats at 16.

Murda rose to fame by producing numerous songs for artist like Drake, Travis Scott, and the hip-hop trio Migos. He belongs to a new wave of Hip-Hop producers gaining high numbers on the Billboard Hot 100, with hits like “Portland” with Drake, Quavo and Travis Scott, “FEFE” with 6ix9ine and Nicki Minaj, “MotorSport” with Migos, Cardi B and Nicki Minaj, and another Drake record, “Nice For What”.
80137,Sketchy Bongo,https://images.genius.com/aa6ece56a8533055fc109bb00261d0b2.300x300x1.jpg,
1531675,KILLY & WondaGurl,https://assets.genius.com/images/default_avatar_300.png?1550074849,
95489,Murda Beatz,https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png,Shane Lee Lindstrom (born February 11, 1994), known professionally as Murda Beatz, is a Canadian producer from Fort Erie, Ontario. He started playing drums at age 6 and started making beats at 16.

Murda rose to fame by producing numerous songs for artist like Drake, Travis Scott, and the hip-hop trio Migos. He belongs to a new wave of Hip-Hop producers gaining high numbers on the Billboard Hot 100, with hits like “Portland” with Drake, Quavo and Travis Scott, “FEFE” with 6ix9ine and Nicki Minaj, “MotorSport” with Migos, Cardi B and Nicki Minaj, and another Drake record, “Nice For What”.
95489,Murda Beatz,https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png,Shane Lee Lindstrom (born February 11, 1994), known professionally as Murda Beatz, is a Canadian producer from Fort Erie, Ontario. He started playing drums at age 6 and started making beats at 16.

Murda rose to fame by producing numerous songs for artist like Drake, Travis Scott, and the hip-hop trio Migos. He belongs to a new wave of Hip-Hop producers gaining high numbers on the Billboard Hot 100, with hits like “Portland” with Drake, Quavo and Travis Scott, “FEFE” with 6ix9ine and Nicki Minaj, “MotorSport” with Migos, Cardi B and Nicki Minaj, and another Drake record, “Nice For What”.
80137,Sketchy Bongo,https://images.genius.com/aa6ece56a8533055fc109bb00261d0b2.300x300x1.jpg,
1531675,KILLY & WondaGurl,https://assets.genius.com/images/default_avatar_300.png?1550074849,
