Alicia Keys,Travis Scott
Jared Evan,!llmind
Fat Joe,Scott Storch
Teon Gibbs,!llmind
Phil Ade,Scott Storch
T.I.,Travis Scott
Jill Scott,Scott Storch
Yung atlas,!llmind
Lil Duke,Travis Scott
Dimeey,!llmind
Torae,!llmind
Ginuwine,Scott Storch
ILL BILL,Large Professor
SOK,Travis Scott
OfficialMio,Scott Storch
I.N.X,!llmind
Emilio Rojas,!llmind
Young Guns,Scott Storch
Illa Ghee,Large Professor
Turxkish,Scott Storch
Kodak Black,Travis Scott
Stevie Stone,Scott Storch
Genius Translations,!llmind
Knoc-turn'al,Scott Storch
Destiny's Child,Scott Storch
Glee Cast,Scott Storch
Hudson Mohawke,Travis Scott
The Graduates,Travis Scott
Mike Stud,Scott Storch
JoJo,Scott Storch
Hermi7 Khalfani,Large Professor
Bill $aber,!llmind
Benny Boy,Large Professor
Steve Aoki,Travis Scott
Playboi Carti,Travis Scott
Hustle Gang,Travis Scott
Eric B. & Rakim,Large Professor
Chris Brown & Tyga,Scott Storch
T.I.,Scott Storch
Giggs,Travis Scott
​​wifisfuneral,!llmind
Lil Flip,Scott Storch
Strange Fruit Project,!llmind
Alpha,Scott Storch
Usher,Travis Scott
Sean Price,Large Professor
Dae(Blackmob),!llmind
LeToya Luckett,Scott Storch
Scott Bradlee's Postmodern Jukebox,Scott Storch
Krickz,Scott Storch
Mariah Carey,Scott Storch
Kollegah,Scott Storch
Merkules,Scott Storch
Tex (Rap),!llmind
Kendrick Lamar,Travis Scott
Sky Ferreira,Scott Storch
Jesse Abraham,!llmind
Duke London,Scott Storch
Jamal HD,!llmind
The Roots,Scott Storch
Slick Rick,Large Professor
Faith Evans,Scott Storch
French Montana,Scott Storch
John Legend,Travis Scott
A Boogie wit da Hoodie,!llmind
Lil' Kim,Scott Storch
Flowz Dilione,Scott Storch
London on da Track,Scott Storch
Migos,Travis Scott
CZARFACE,Large Professor
Truth Hurts,Scott Storch
Playdough,!llmind
PARTYNEXTDOOR,Travis Scott
James Blake,Travis Scott
Scarface,!llmind
Chamillionaire,Scott Storch
Crooked I,Scott Storch
Raven-Symoné,Scott Storch
Low Pros,Travis Scott
LL Cool J,Scott Storch
Juvenile,Scott Storch
Slaughterhouse,!llmind
Skyzoo & Illmind,!llmind
Quentin Miller,Travis Scott
Michael Franti & Spearhead,Scott Storch
Lord Finesse,Large Professor
Paris Hilton,Scott Storch
Ruben Studdard,Scott Storch
J. Parker,!llmind
Shaggy,Scott Storch
Juicy J,Travis Scott
Gucci Mane,Travis Scott
Bambu,!llmind
Termanology,Large Professor
Puff Daddy & the Family,Travis Scott
DO MC,!llmind
Jack and White,Scott Storch
Audio Push,Travis Scott
Cashmere Cat,Travis Scott
Kenny Rebelife,!llmind
Emerson Windy,!llmind
Clayton Jokythur,Travis Scott
Richard Cheese,Scott Storch
Lil Shifty,Travis Scott
The Rapping Dragons,Travis Scott
GreekDaGod,!llmind
Dyme-A-Duzin,!llmind
Lawrence Mulrooney,!llmind
MvdS,Scott Storch
Fabolous,Scott Storch
Rob Swift,Large Professor
2Pac,!llmind
Grand Puba,Large Professor
Travis Scott,Travis Scott
Louis B,Travis Scott
Curt Laisi,Travis Scott
Young Thug,Travis Scott
Jeremih,Travis Scott
Justin Bieber,Travis Scott
Future,Travis Scott
Big Boi,Scott Storch
G-Unit,Scott Storch
Nas,Large Professor
Mobb Deep,!llmind
Nas,Scott Storch
Lord AV,!llmind
AZ,Large Professor
Mustard,Travis Scott
D12,Scott Storch
Skyzoo,!llmind
Afrojack,Travis Scott
Mack Wilds,Scott Storch
Jake Morse,!llmind
Miguel,Travis Scott
Earth, Wind & Fire,Scott Storch
Illmac,!llmind
Jon Bellion,!llmind
1K Phew,!llmind
DJ Khaled & Calvin Harris,Travis Scott
J. Cole,!llmind
Giano,!llmind
Lupe Fiasco,Scott Storch
The Roots,!llmind
Consey,Travis Scott
Ryan Leslie,!llmind
Big Sean,Travis Scott
Bonnie McKee,!llmind
Kanye West,Travis Scott
Romeo Santos,!llmind
Chaundon,!llmind
A$AP Rocky,Travis Scott
Nelly,Scott Storch
Jay Diem,!llmind
Gucci Mane,Scott Storch
Brunelle,Scott Storch
XXL,Travis Scott
RiFF RAFF,Travis Scott
YoungBloodZ,Scott Storch
2Shaddy,Scott Storch
DP Beats,Travis Scott
Mobb Deep,Large Professor
The Alchemist,Large Professor
Allen Halloween,!llmind
Trick Trick,Scott Storch
Birdman,Scott Storch
Skillz,Large Professor
Jessica Simpson,Scott Storch
Dami Im,Scott Storch
SigNature,Scott Storch
Dame D.O.L.L.A.,Scott Storch
Y.S.A,!llmind
AKTHESAVIOR,Travis Scott
