Curtis Williams,Metro Boomin
Tre Capital,J Dilla
Kid Berg,J Dilla
French Montana,Pharrell Williams
Mary J. Blige,DJ Khaled
LION BABE,Pharrell Williams
Stephen the Levite,Stro Elliot
Lil Peep,Southside
Mac Miller,Just Blaze
Kid Cudi,Dot Da Genius
The Rapture,Timbaland
We Are Toonz,T-Pain
Lil Baby & Marlo,OG Parker
XV,9th Wonder
Laron Pierce,Sounwave
Slim_alex,DJ Khaled
ROSALÍA,Pharrell Williams
Smoke DZA,Lex Luger
Tank God,Swizz Beatz
Dead Prez,Kanye West
Chasey The Illest,9th Wonder
Talib Kweli,9th Wonder
Rob Markman,J.U.S.T.I.C.E. League
Robin Thicke,Pharrell Williams
Kent Jones,DJ Khaled
Alexanderdee,Travis Scott
Mango Foo,OG Parker
TVETH,Southside
Murphy Lee,Mannie Fresh
Desiigner,Kanye West
Tyler, The Creator & A$AP Rocky,Missy Elliott
Cal Chuchesta,40
KAS KATEE,Kurupt
Missy Elliott,Scott Storch
NINETEEN NINETY FOUR,J Dilla
Ja Rule,Scott Storch
Xzibit,DJ Quik
Sincere,Timbaland
Demigodz,DJ Premier
Loaded Lux,DJ Premier
Strictly DT,Stro Elliot
Rev Run,Puff Daddy
Brooks,DJ Khaled
Ty Dolla $ign,Young Chop
L-JAM feat YOUSSEF,T-Pain
Meek Mill,Travis Scott
Black Hippy,Sounwave
ANXIETY x 柒羊 x 奶其,Metro Boomin
Young Boy JJ,Mike WiLL Made-It
Jack Ü,Missy Elliott
H.E.R.,40
Mally Mall,Mike WiLL Made-It
Rihanna,Mustard
Copywrite,!llmind
Robert Glasper,J Dilla
TLC,Timbaland
Gucci Mane,Zaytoven
M0ney.marc0,Southside
X (ItsXMusic),Dr. Dre
Of Mice & Men,T-Pain
Chris Lowe (2),Large Professor
JR Castro,Timbaland
The Notorious B.I.G.,Missy Elliott
Mary J. Blige,Cool & Dre
Rich the Kid,Young Chop
Chingy,Cool & Dre
Granpa rapps,DJ Khaled
Marques Houston,Jermaine Dupri
Lloyd Banks,40
Hwoarang,Mike WiLL Made-It
Squeegie O,!llmind
Tamia,Salaam Remi
Hippy SOUL,Metro Boomin
City Girls,TrapMoneyBenny
Bizzle,Cool & Dre
Madonna,Missy Elliott
Casey Veggies & Rockie Fresh,Hit-Boy
Lovele$$,!llmind
6LACK,DJ Premier
John Hendrixs,9th Wonder
Regg,Just Blaze
Smokepurpp,Mustard
Yo Gotti,Zaytoven
3rd Storee,Jermaine Dupri
YG,DJ Quik
Mr. Cheeks,Missy Elliott
Rick Ross,Young Chop
Durag Dynasty,The Alchemist
Tech N9ne,Dr. Dre
Jamie Foxx,Kanye West
Wizzy,40
Big Sean,Young Chop
AZ,Salaam Remi
Weird Al Yankovic,Puff Daddy
Kool G Rap,DJ Premier
Jay Electronica,J Dilla
Trey Songz,!llmind
Sticky Fingaz,Scott Storch
Antonio Aaron,J Dilla
Joe Jonas,Travis Scott
Cameron J,Cardo
Exile,Southside
Brudda Nay,9th Wonder
Lil' Kim,Mike WiLL Made-It
Keytalife,Swizz Beatz
Clean Edit,Hit-Boy
Miley Cyrus,Mike WiLL Made-It
Rick Ross,Salaam Remi
Young Buck,J.U.S.T.I.C.E. League
Black Knights,Kurupt
Julian Marshall,Bangladesh
Tink,Missy Elliott
Genius Türkçe Çeviri,40
Skepta,Pharrell Williams
Tray Savage,Zaytoven
Luniz,DJ Quik
Yo Gotti,Dr. Dre
Alicia Keys,Salaam Remi
Caldo Hits,Metro Boomin
Kid Cudi,T-Pain
The xx,Timbaland
Jamie Foxx,Mustard
Gunplay,Mustard
Usher & Zaytoven,Zaytoven
Bad Royale,T-Pain
Cashmere Cat & DJ Mustard,Mustard
Trippie Redd,Zaytoven
Brandon Allen,Sounwave
Yelawolf,Dr. Dre
Boldy James,The Alchemist
Audio Push,J Dilla
Ocho Sneak,Tay Keith
Suraj Modi,Mike WiLL Made-It
Lightshow,Southside
