Yelawolf,Dr. Dre
Audio Push,J Dilla
ThouxanbanFauni,Dee Money
Trev Mulàh,Turbo
Ludacris,David Banner
Suraj Modi,Mike WiLL Made-It
Stoneyyy Wright,Bink!
A$AP Mob,Harry Fraud
Bello Figo,Cardo
MC Wojtu$,Lex Luger
Verbal Threat,DJ Premier
DJ Burn One,DJ Burn One
Lil Twist,Hit-Boy
Denzel Curry,Ronny J
Mozzy,DJ Spinz
Iggy Azalea,Diplo
Power 106 FM,Mike WiLL Made-It
K Camp,DJ Spinz
Faith Evans,The Neptunes
Macy Gray,Chase N. Cashe
Only The Family,Dun Deal
DJ Class,Kanye West
E-Wes,Iman Omari
Bandingo,MaxoKoolin
Tyler, The Creator,Bangladesh
The FADER,Travis Scott
Krafty,Erick Sermon
Metro Boomin,Sonny Digital
Aston Veyron,Big K.R.I.T.
Turtle NoJoke,Hit-Boy
GoldLink,BADBADNOTGOOD
Kodak Black,Southside
03 Greedo,Louie Bandz
Samir Madad,Nottz
Lloyd Banks,Beat Butcha
Capital STEEZ,Chuck Strangers
DJ Funky,Big K.R.I.T.
CiNo,DJ Hoppa
Eric North,DJ Flippp
Alicia Keys,Travis Scott
Young Money,Static Major
​​wifisfuneral,Smash David
J. Holiday,Kuk Harrell
Real Recognize Rio,KC Da Beatmonster
Chief Keef & Fredo Santana,TrapMoneyBenny
XV,Mike Dean
Sean Slick,Ayatollah
Boldy James,Boi-1da
Blu Cantrell,Missy Elliott
Enyukay,9th Wonder
Emilio Rojas,!llmind
Illa Ghee,Large Professor
Monica,LL Cool J
Slim of 112,Ryan Leslie
THANKYOUMOMO,Bobby Johnson Beats
Karencitta,Boi-1da
Witt Lowry,Bighead
Coin Banks,Cam O'bi
Rich The Kid & iLoveMakonnen,Sonny Digital
CJ Hilton,Salaam Remi
Cozy Miles,MF DOOM
Phat Kat,J Dilla
Power Plugg,CashMoneyAP
Keed,London on da Track
Mitchellel,Big K.R.I.T.
@ChefToast,9th Wonder
King Los,Bighead
Nas,J.U.S.T.I.C.E. League
Offset,Ricky Racks
Topaz Jones,Thelonious Martin
Yung Cu$$o,Menoh Beats
Quentin Miller,TrapMoneyBenny
Slum Village,J Dilla
Dreezy,Southside
Olegacyo,Windxws
James Blake,Metro Boomin
Lucki,SKYWLKR
Pi'erre Bourne & Cardo,Pi'erre Bourne
Lunar C,Mike WiLL Made-It
Audio Push,Lamar "Mars" Edwards
TM88, Southside & Gunna,Southside
Kool A.D.,SKYWLKR
Gared A.,Diplo
YP,Hit-Boy
Samir Madad,J Dilla
Davis Absolute,40
Def Ninja,MF DOOM
Pitbull,Static Major
K. Michelle,Yung Ladd
Liam Bailey,Salaam Remi
Nicki Minaj,Rico Love
Khalid & Swae Lee,Sounwave
UGK,Cory Mo
K-Deep,DJ Spinz
Genius Translations,Quincy Jones
Magix King,Johnny Juliano
Dom Soto,DJ Dahi
Bas,Sango
Lil Johnnie,CashMoneyAP
Trey Songz,K.E. on the Track
Tinashe & 96ix,Smash David
Fabri Fibra,Chase N. Cashe
Childish Major,Supah Mario
Mr. Lif,9th Wonder
Strong Arm Steady,DJ Khalil
IDK,Take a Daytrip
Swaggy Liam,9th Wonder
P.O.P,Red Drum
BlessMyColdWorld,Big K.R.I.T.
Lord Tariq & Peter Gunz,Ron "Amen-Ra" Lawrence
A$AP Twelvyy,The Heatmakerz
MoSS,Havoc
Dudu LFAM,Jahlil Beats
Ahzzy,Cam O'bi
Machine Gun Kelly,Drumma Boy
Artigeardit,Cardo
Kanye West,Boi-1da
Rah Digga,Just Blaze
Smokepurpp,Bighead
Future,Ricky Racks
Phil Ade,Ryan Leslie
Kollegah,AraabMUZIK
Bhad Bhabie,Bobby Kritical
$teven Cannon,Lex Luger
Ant Beale,Maaly Raw
Gilbere Forte,Big K.R.I.T.
BabyLee,Jahlil Beats
Karisa Nicole,June James
A$AP Ferg,A$AP P on the Boards
JID & A$AP Ferg,Sonny Digital
Thess,Metro Boomin
Stat,Yung Ladd
Jesus of Swaggerath,DJ Don Cannon
Funk Volume,DJ Hoppa
Juicy J,Travis Scott
Bambu,!llmind
RoMilli,CashMoneyAP
Why SL Know Plug,Southside
Waka Flocka Flame,Lex Luger
CyHi The Prynce,Drumma Boy
Styles P,J Dilla
Slipknot,Rick Rubin
Audio Push,WondaGurl
Juicy J,Big K.R.I.T.
Panic! at the Disco,Timbaland
Lupe Fiasco,Timbaland
Memphis Bleek,Missy Elliott
Lil Pump,Ronny J
Rapper Big Pooh,Khrysis
Macklemore & Ryan Lewis,DJ Premier
Smoke DZA,Cardo
Screwball,DJ Premier
Mobb Deep,Big Noyd
Pete Rock,Khrysis
Kamaiyah,P-Lo
The Notorious B.I.G.,Static Major
Hoodrich Pablo Juan,CaptainCrunch
Lil Pump,Cris Dinero
Deliric,Organized Noize
Haikaiss,9th Wonder
WESTSIDE DOOM,Daringer
Producer Genius,Sounwave
Maurice Wilcher,Dr. Dre
Hit-Boy,Cardo
Jason Madison,DJ Dahi
Rick Ross,Big K.R.I.T.
Young Thug & Carnage,Carnage
Rich Forever Music,Richie Souf
Lil Jay,Boi-1da
Pollàri,Bighead
P. Stunna,DJ Spinz
Crazy Titch,Kane Beatz
Backstreet Boys,Pharrell Williams
Jadakiss,Remo the Hitmaker
Chief Keef,K.E. on the Track
Bobby V,Lamar "Mars" Edwards
Jayo Felony,E-A-Ski
Kid Cudi,Mike Dean
Pop-A-Lot,Nard & B
DJ Infamous,Childish Major
Freddie Gibbs,Harry Fraud
Lil Jon & The East Side Boyz,Pharrell Williams
Chaundon,!llmind
Nelly,Scott Storch
Ethor Skull,Oster Lapwass
Jordin Sparks,Mustard
Sad Frosty,Red Drum
Nyze,Stickle
BrandenBeatBoy,Hit-Boy
Humble The Poet,KAYTRANADA
Ciara,Kuk Harrell
Three 6 Mafia,Puff Daddy
Playaz Circle,LT Moe
Tay Keith & Lil Juice,Tay Keith & Lil Juice
Kemikl CRI$$,Mike WiLL Made-It
Jeremih,Mike WiLL Made-It
Trouble,Beat Billionaire
Vado,DJ Burn One
Talib Kweli,Kanye West
The Evolution/16 Months,40
Young Thug,Supah Mario
T.I.,Jake One
Rockstar Marqo,Da Honorable C.N.O.T.E.
A-F-R-O,J Dilla
Tory Lanez,CashMoneyAP
Lil' Cease,Bink!
Big K.R.I.T., Jakk Jo & David Banner,9th Wonder
Princess Nokia,Sound M.O.B.
IDK,MF DOOM
HBK Gang,P-Lo
Cam'ron,Nitti
Anklesfat,BYOU$
Lil B,Just Blaze
The Jaded Outspoken Kid Evolving Rap,!llmind
Tungatz D'LAW,K.E. on the Track
Twinn Zeus,El-P
Kurupt,Mally Mall
Giggs,London on da Track
Dre Knox,Just Blaze
Thess,Sounwave
Quilly,Charlie Heat
Indigo Sandifer,Ginseng
Future & Juice WRLD,CuBeatz
FYÜTCH (US),Mr. Carmack
Kulprit D,Boi-1da
North Face Don,CashMoneyAP
MC Eiht,Kurupt
Flo Rida,Da Honorable C.N.O.T.E.
Big Sean,Kanye West
$aint Music,Murda Beatz
LLA Tilla,CuBeatz
Nova November,K.E. on the Track
Dom Kennedy,Cardo
London Jae,Travis Scott
Fabolous & Jadakiss,Southside
Yo Gotti,Cool & Dre
Wiz Khalifa & Curren$y,Harry Fraud
Musa,J Dilla
Mr. Krane,Mike WiLL Made-It
Swizz Beatz,Nottz
Tragedy Khadafi,Large Professor
Itachifromfl,Nick EBeats
Iggy Azalea,DJ Spinz
Jose Guapo,Southside
Jamie Foxx,Pharrell Williams
MK-I,BADBADNOTGOOD
Juicy J,Lex Luger
Ski Mask the Slump God,OG Parker
Fat Trel,Lex Luger
Halflife/Lil$ith,Charlie Shuffler
Trae tha Truth,1500 or Nothin'
Kyzo Kidd,TOOM
TC Rapper,Missy Elliott
Pusha-T,Ski Beatz
Alex Aiono & T-Pain,T-Pain
ScxrJxy,MaxoKoolin
King Libra,Boi-1da
Lil World,CashMoneyAP
Jayden Jesse,Cashmere Cat
Chris Brown,Lamar "Mars" Edwards
Statik Selektah,Hit-Boy
Odd Squad,Mike Dean
Ski Mask the Slump God,Bass Santana
Show Banga,Sorry Jaynari
SOB X RBE,Mustard
​CupcakKe,Metro Boomin
GFR,DJ Flippp
Hoodrich Pablo Juan,Louie Bandz
StarGate,Murda Beatz
Wizkid,Salaam Remi
Young Craw,Big K.R.I.T.
Von Alexander,!llmind
Chris Webby,Ryan Leslie
Kevin Hart,Metro Boomin
Ludacris,Remo the Hitmaker
Mila J,Jahlil Beats
Kamiyada+,Ginseng
$us Boy,CashMoneyAP
Wyclef Jean,DJ Khaled
Lil Wayne,David Banner
Smoke & Thad,40
Big Sean,Smash David
Eric Bellinger,Sorry Jaynari
Nate Good,Sango
Soulja Boy Tell 'Em,Ronny J
Rah Digga,DJ Premier
Quando Rondo,Dubba-AA
Stevie Bucks,Ski Beatz
T.I.,London on da Track
Lance Skiiiwalker,DJ Dahi
MC Crae,Bink!
RUSSELL,Sounwave
Pac Div,Lamar "Mars" Edwards
Busta Rhymes,Bink!
Puff Daddy,Travis Scott
Teebird,MF DOOM
Sfera Ebbasta,Ronny J
Shades Of Culture,A-Trak
Snow Tha Product,D.A. Doman
Dreezy,Take a Daytrip
JAY-Z,Dr. Dre
OMEGV,KAYTRANADA
Kenny Marcellus,Statik Selektah
Little Mix,Timbaland
Jadakiss,Puff Daddy
Attitude,Cory Mo
JG Trigga,Mike WiLL Made-It
Pimp C,Big K.R.I.T.
DJ Premier,Statik Selektah
Context,Mustard
Danny Brown,Chuck Inglish
Lerumo,Kane Beatz
Hoodrich Pablo Juan,DJ Spinz
Keri Hilson,Hit-Boy
Scale life,Lex Luger
Nick Cannon,Just Blaze
HABXRYM,Ginseng
Trilla Kid,Wheezy
Michael shlong,Jahlil Beats
Syd,Rahki
Nathan Sykes,Harmony Samuels
Young Money,Kane Beatz
Tory Lanez,Sound M.O.B.
Meek Mill,The Renegades
D. Jame$,Harry Fraud
Aquil Smith,SKYWLKR
Trip Lee,!llmind
LIZ,Mr. Carmack
Common,9th Wonder
Johnny Quenno,Haven Beats
ALLBLACK,P-Lo
Eddie Wellz,Lee Bannon
Gloriana,John Paul White
Slaine Vs. Termanology,Statik Selektah
IamSu!,STREETRUNNER
Cormega,Kurupt
Kendrick Lamar,Sounwave
Gin Wigmore,DJ Khalil
