song_id|song_title|album_id|album_title|cover_art_url|performer_id|performer_name|performer_img_url|release_date|release_year|release_month|release_day|apple_music_player_url|producer_id
724284|Never Catch Me|491157|Rodeo (Deluxe)|https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2015-09-04|2015|9|4|https://genius.com/songs/724284/apple_music_player|50896
3209338|Malfunction|347955|Luv Is Rage 2|https://images.genius.com/01ecec6354fe061901f305a6a11ee524.1000x1000x1.jpg|217208|Lil Uzi Vert|https://images.genius.com/651a11b30fa5fd21648e6cc22c5a4f62.1000x1000x1.jpg|2017-08-25|2017|8|25|https://genius.com/songs/3209338/apple_music_player|50896
691607|High Fashion|345439|We Run This, Vol. 13|https://images.genius.com/d830c23645d7f7af55dc88ee034e1954.800x800x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2015-01-27|2015|1|27|https://genius.com/songs/691607/apple_music_player|50896
3097951|Blowing Smoke|326050|True to Self|https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg|264368|Bryson Tiller|https://images.genius.com/a0e91b5f06cdd8c7b3f1a87ad853a604.640x640x1.jpg|2017-05-26|2017|5|26|https://genius.com/songs/3097951/apple_music_player|50896
2938694|I Decided. [Tracklist + Album Art]|287219|I Decided.|https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg|492|Big Sean|https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg|2017-02-03|2017|2|3|https://genius.com/songs/2938694/apple_music_player|50896
1862903|Freaky|126701|Slime Season|https://images.genius.com/e7c67a01f872ff7f8c60b34a636ec3f4.500x500x1.jpg|20503|Young Thug|https://images.genius.com/132dc1102a66006a89262588c38104ac.640x640x1.jpg|2015-09-16|2015|9|16|https://genius.com/songs/1862903/apple_music_player|50896
146977|Trouble||||1583|French Montana|https://images.genius.com/99431503a5ae0bb0e46760c2efde9a19.581x581x1.jpg|||||https://genius.com/songs/146977/apple_music_player|50896
3097975|Money Problems / Benz Truck|326050|True to Self|https://images.genius.com/25f27b933ed193df22a7f3a349b8e081.1000x1000x1.jpg|264368|Bryson Tiller|https://images.genius.com/a0e91b5f06cdd8c7b3f1a87ad853a604.640x640x1.jpg|2017-05-26|2017|5|26|https://genius.com/songs/3097975/apple_music_player|50896
3138028|Hasta Luego|461853|DiCaprio 2|https://images.genius.com/a24486c6e4c335d50ce79fdcf7bef5ac.1000x1000x1.jpg|324667|JID|https://images.genius.com/b2b79e586d20df0c2a21943d2edf1e9e.1000x1000x1.jpg|2017-06-29|2017|6|29|https://genius.com/songs/3138028/apple_music_player|50896
2893569|Braille|287386|Do What Thou Wilt.|https://images.genius.com/c2b989273a64cf1720624b72503a60bd.1000x1000x1.jpg|2049|Ab-Soul|https://s3.amazonaws.com/filepicker-images-rapgenius/0sfhqn8qSr0cTamFCJUd_ab-soul-dwtw-interview-3.jpg|2016-10-27|2016|10|27|https://genius.com/songs/2893569/apple_music_player|50896
3563908|Doomsday|407984|Surrender Your Soul|https://images.genius.com/d915da9f41b49bdab8b9a2521270400d.800x800x1.jpg|1085634|KILLY|https://images.genius.com/28426b0ee6c1039cd924830c7e3ade0d.1000x1000x1.jpg|2018-03-06|2018|3|6|https://genius.com/songs/3563908/apple_music_player|50896
2829210|Hot Sauce||||20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2016-09-02|2016|9|2|https://genius.com/songs/2829210/apple_music_player|50896
2297764|I'm Good|139629|Happening in the Grey Area|https://images.genius.com/0cce30e4ec5cad078d0353d507e17078.500x500x1.jpg|206705|Amir Obè|https://images.genius.com/09184ecb9f2dcfc9b2f14c9bd6a3b6b1.1000x1000x1.jpg|2015-09-05|2015|9|5|https://genius.com/songs/2297764/apple_music_player|50896
