song_id|song_title|album_id|album_title|cover_art_url|performer_id|performer_name|performer_img_url|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url|producer_id
3047140|LUST.|337082|DAMN.|https://images.genius.com/d25e7043f51c2de6acaf6c39caa60da2.1000x1000x1.jpg|1421|Kendrick Lamar|https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg|2017-04-14|2017|4|14|https://genius.com/songs/3047140/apple_music_player|33699
2472236|All Night|150853|Coloring Book|https://images.genius.com/2e0b7d55f91e7f8402dc255e31ebebe6.750x750x1.jpg|16751|Chance the Rapper|https://images.genius.com/d5771671554a8976b034671291d2bca7.527x527x1.jpg|2016-05-12|2016|5|12|https://genius.com/songs/2472236/apple_music_player|33699
682507|Girl|125539|Ego Death|https://images.genius.com/c74743926c766d19f5e64d1dc45a6a04.1000x1000x1.jpg|14577|The Internet|https://images.genius.com/cfeb5a6881fa009d85436f1e0b57afe0.1000x1000x1.jpg|2015-06-23|2015|6|23|https://genius.com/songs/682507/apple_music_player|33699
1926559|P's & Q's|122873|Wave[s]|https://images.genius.com/0d7726d1c59c4e2e8942c2b01f8bcd78.1000x1000x1.jpg|34513|Mick Jenkins|https://images.genius.com/f03ba56e28d549c7772ed19df8c21638.743x743x1.jpg|2015-05-26|2015|5|26|https://genius.com/songs/1926559/apple_music_player|33699
2452034|GLOWED UP|148586|99.9%|https://images.genius.com/0db0976d753478aafcedc17e8c131bf1.1000x1000x1.jpg|33699|KAYTRANADA|https://images.genius.com/5dc2e2521d285b09feb31673b034a28e.1000x1000x1.jpg|2016-04-07|2016|4|7|https://genius.com/songs/2452034/apple_music_player|33699
2467600|YOU'RE THE ONE|148586|99.9%|https://images.genius.com/0db0976d753478aafcedc17e8c131bf1.1000x1000x1.jpg|33699|KAYTRANADA|https://images.genius.com/5dc2e2521d285b09feb31673b034a28e.1000x1000x1.jpg|2016-05-06|2016|5|6|https://genius.com/songs/2467600/apple_music_player|33699
2448865|Only Girl||||160041|Kali Uchis|https://images.genius.com/bf6bb83474282ad070ff67bcfe049e53.858x858x1.jpg|2016-04-01|2016|4|1|https://genius.com/songs/2448865/apple_music_player|33699
2467594|GOT IT GOOD|148586|99.9%|https://images.genius.com/0db0976d753478aafcedc17e8c131bf1.1000x1000x1.jpg|33699|KAYTRANADA|https://images.genius.com/5dc2e2521d285b09feb31673b034a28e.1000x1000x1.jpg|2016-05-06|2016|5|6|https://genius.com/songs/2467594/apple_music_player|33699
723729|Rush|119239|Por Vida|https://images.genius.com/0c1f0528a82cdcd49c11557434cbb0e7.1000x1000x1.jpg|160041|Kali Uchis|https://images.genius.com/bf6bb83474282ad070ff67bcfe049e53.858x858x1.jpg|2015-02-04|2015|2|4|https://genius.com/songs/723729/apple_music_player|33699
3425329|Egyptian Luvr|394881|Dear Annie|https://images.genius.com/5d7cc1e85e4d25a8668c44ff582dabce.1000x1000x1.jpg|26793|Rejjie Snow|https://s3.amazonaws.com/rapgenius/58051_634551443228311_1475480784_n.jpg|2018-01-10|2018|1|10|https://genius.com/songs/3425329/apple_music_player|33699
2254487|Your Love|122873|Wave[s]|https://images.genius.com/0d7726d1c59c4e2e8942c2b01f8bcd78.1000x1000x1.jpg|34513|Mick Jenkins|https://images.genius.com/f03ba56e28d549c7772ed19df8c21638.743x743x1.jpg|2015-08-21|2015|8|21|https://genius.com/songs/2254487/apple_music_player|33699
3017488|Meditation|335698|At What Cost|https://images.genius.com/6734597272f1bb15d1df2954e5391353.1000x1000x1.jpg|64930|GoldLink|https://images.genius.com/1c08aa943def92fb48d3d4e044640136.1000x1000x1.jpg|2017-03-09|2017|3|9|https://genius.com/songs/3017488/apple_music_player|33699
