song_id, song_title, album_id, performer_id, release_date, release_year, release_month, release_day, apple_music_player_url
84052,Naked Pictures,333984,18814,2012-01-01,2012,1,1,https://genius.com/songs/84052/apple_music_player
66685,If Heaven is a Ghetto,15119,1262,,,,,https://genius.com/songs/66685/apple_music_player
71928,Go,,19513,2012-04-20,2012,4,20,https://genius.com/songs/71928/apple_music_player
114551,New Jet City,27809,1183,2013-02-03,2013,2,3,https://genius.com/songs/114551/apple_music_player
3439462,Shook,397191,32397,2018-01-12,2018,1,12,https://genius.com/songs/3439462/apple_music_player
364188,Stolen,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/364188/apple_music_player
2462144,CORNERSTORE,30528,36436,2016-04-25,2016,4,25,https://genius.com/songs/2462144/apple_music_player
86846,Black Acura,20023,475,,,,,https://genius.com/songs/86846/apple_music_player
2862210,Grown Woman,223101,874227,2016-09-20,2016,9,20,https://genius.com/songs/2862210/apple_music_player
3910646,Guidelines,,32449,2018-08-20,2018,8,20,https://genius.com/songs/3910646/apple_music_player
322203,Since My Dog Died,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/322203/apple_music_player
364633,Hi Top Whites,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/364633/apple_music_player
363341,Grew Up In This,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/363341/apple_music_player
2881345,Do Not Disturb,223101,874227,2016-10-14,2016,10,14,https://genius.com/songs/2881345/apple_music_player
363871,Vintage Vineyard,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/363871/apple_music_player
363305,E.T.,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/363305/apple_music_player
81708,Blackbird,333984,12404,2012-08-23,2012,8,23,https://genius.com/songs/81708/apple_music_player
3261632,Black Sheep, White Dove,371473,173100,2017-10-13,2017,10,13,https://genius.com/songs/3261632/apple_music_player
66850,Ave.,15119,1262,,,,,https://genius.com/songs/66850/apple_music_player
233971,Brighton Beach,38031,14378,2013-06-26,2013,6,26,https://genius.com/songs/233971/apple_music_player
104720,Can't Get Out,25835,1183,2012-01-01,2012,1,1,https://genius.com/songs/104720/apple_music_player
114495,Moe Chettah,27809,1183,2013-02-03,2013,2,3,https://genius.com/songs/114495/apple_music_player
104682,Pick N Roll,25835,1183,2012-01-01,2012,1,1,https://genius.com/songs/104682/apple_music_player
2481150,WINNERS CIRCLE,30528,36436,2016-05-27,2016,5,27,https://genius.com/songs/2481150/apple_music_player
345394,Burgundy Windbreaker,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/345394/apple_music_player
303535,Special Jim,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/303535/apple_music_player
2481796,GODBODY,30528,36436,2016-05-27,2016,5,27,https://genius.com/songs/2481796/apple_music_player
364819,MPR,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/364819/apple_music_player
363396,Introduction,78710,1183,2014-02-14,2014,2,14,https://genius.com/songs/363396/apple_music_player
348712,Marmalade Sky,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/348712/apple_music_player
114553,Living For The City,27809,1183,2013-02-03,2013,2,3,https://genius.com/songs/114553/apple_music_player
321600,850 Music [Morimoto Drug Transactions],122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/321600/apple_music_player
281638,Children Of The Sun,,18814,,2010,,,https://genius.com/songs/281638/apple_music_player
384376,Blue Fin Tuna,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/384376/apple_music_player
322419,Short $ermons,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/322419/apple_music_player
114503,New Program,27809,1183,2013-02-03,2013,2,3,https://genius.com/songs/114503/apple_music_player
474341,House Shoes,111655,1183,2014-08-30,2014,8,30,https://genius.com/songs/474341/apple_music_player
214634,Weather Channel,44204,69378,,,,,https://genius.com/songs/214634/apple_music_player
157950,Ghost Of Dipset,85951,1973,2014-03-27,2014,3,27,https://genius.com/songs/157950/apple_music_player
323664,Odd Sweaters 1992,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/323664/apple_music_player
104722,Yella Cab,25835,1183,2012-12-24,2012,12,24,https://genius.com/songs/104722/apple_music_player
217637,In The Meantime,,19513,,,,,https://genius.com/songs/217637/apple_music_player
2336586,Bad Luck,122927,27391,2015-06-30,2015,6,30,https://genius.com/songs/2336586/apple_music_player
214906,Walkie Talkies,44204,69378,,,,,https://genius.com/songs/214906/apple_music_player
379781,Pimp Sport,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/379781/apple_music_player
3940042,24K GOLD / SANCTIFIED,454984,36436,2018-09-07,2018,9,7,https://genius.com/songs/3940042/apple_music_player
2303359,RUPHUS,130778,14378,2015-09-11,2015,9,11,https://genius.com/songs/2303359/apple_music_player
2771089,Bomaye,164005,32449,2016-06-29,2016,6,29,https://genius.com/songs/2771089/apple_music_player
694590,Arrowhead,333984,21671,2012-08-26,2012,8,26,https://genius.com/songs/694590/apple_music_player
621942,Graceful Jewelry Removal,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/621942/apple_music_player
183376,22 Tabs,38031,14378,2013-06-30,2013,6,30,https://genius.com/songs/183376/apple_music_player
410781,Paul Allen's Business Card,122114,27391,2013-12-17,2013,12,17,https://genius.com/songs/410781/apple_music_player
2158942,Dirty Ginger Ale,122927,27391,2015-06-30,2015,6,30,https://genius.com/songs/2158942/apple_music_player
603216,Malcom Interlude,115967,820,2014-12-01,2014,12,1,https://genius.com/songs/603216/apple_music_player
144241,Red Kool-Aid,,47328,,,,,https://genius.com/songs/144241/apple_music_player
181622,Table Tennis,38033,1190,,,,,https://genius.com/songs/181622/apple_music_player
3940076,LEBRON JAMES,454984,36436,2018-09-07,2018,9,7,https://genius.com/songs/3940076/apple_music_player
210408,Black Dynamite,,18609,2013-08-26,2013,8,26,https://genius.com/songs/210408/apple_music_player
603236,BadGuyGoodguy,115967,27391,2014-12-01,2014,12,1,https://genius.com/songs/603236/apple_music_player
2847990,Anime,165971,1262,2016-08-30,2016,8,30,https://genius.com/songs/2847990/apple_music_player
3041531,Blink,337979,540603,2017-03-31,2017,3,31,https://genius.com/songs/3041531/apple_music_player
113003,Still Alive,19175,22609,,,,,https://genius.com/songs/113003/apple_music_player
3646964,Cool,,34513,2018-03-25,2018,3,25,https://genius.com/songs/3646964/apple_music_player
2340884,I Wrote a Poem,133651,32998,,,,,https://genius.com/songs/2340884/apple_music_player
1930106,See A Key (Ki'),125222,5797,2015-06-23,2015,6,23,https://genius.com/songs/1930106/apple_music_player
3298784,Delivert,,855765,2017-11-01,2017,11,1,https://genius.com/songs/3298784/apple_music_player
3591520,Pleasure Pain Passion,411750,18609,2018-03-02,2018,3,2,https://genius.com/songs/3591520/apple_music_player
175621,Sour Apples,30670,36435,,,,,https://genius.com/songs/175621/apple_music_player
225729,Monologue.,,36436,2013-09-22,2013,9,22,https://genius.com/songs/225729/apple_music_player
1930132,Women Who Can Cook,125222,5797,2015-06-23,2015,6,23,https://genius.com/songs/1930132/apple_music_player
2966879,Road,,540603,2017-01-25,2017,1,25,https://genius.com/songs/2966879/apple_music_player
150275,Premature Hoop Dreams,,43600,,,,,https://genius.com/songs/150275/apple_music_player
646847,Decades,,45794,2014-12-22,2014,12,22,https://genius.com/songs/646847/apple_music_player
2624104,Shit On Her,156984,430414,2016-02-09,2016,2,9,https://genius.com/songs/2624104/apple_music_player
3743304,Ball,432320,32998,2018-05-23,2018,5,23,https://genius.com/songs/3743304/apple_music_player
87109,Ever Loyal,21011,5797,2012-08-30,2012,8,30,https://genius.com/songs/87109/apple_music_player
