song_id|song_title|song_release_date|song_release_year|song_release_month|song_release_day|apple_music_player_url
3518857|Mia Khalifa|2018-02-13|2018|2|13|https://genius.com/songs/3518857/apple_music_player
3445405|Travel Ban|2018-01-12|2018|1|12|https://genius.com/songs/3445405/apple_music_player
3710404|Woah Vicky|2018-05-09|2018|5|9|https://genius.com/songs/3710404/apple_music_player
3479268|Sauce It Up|2018-01-29|2018|1|29|https://genius.com/songs/3479268/apple_music_player
3459741|Hate Me|2017-10-29|2017|10|29|https://genius.com/songs/3459741/apple_music_player
4145085|Mia Khalifa (Cover)|2018-11-28|2018|11|28|https://genius.com/songs/4145085/apple_music_player
3459644|That's A Shame|2017-11-19|2017|11|19|https://genius.com/songs/3459644/apple_music_player
3459691|Judge Me|2017-12-02|2017|12|2|https://genius.com/songs/3459691/apple_music_player
3584482|Sad Dontai|2018-03-15|2018|3|15|https://genius.com/songs/3584482/apple_music_player
3596816|SKiRT|2018-03-21|2018|3|21|https://genius.com/songs/3596816/apple_music_player
4017253|JASMiNE|2018-10-15|2018|10|15|https://genius.com/songs/4017253/apple_music_player
3852923|Someone New|2018-07-20|2018|7|20|https://genius.com/songs/3852923/apple_music_player
3786904|FAKE FRIENDS|2018-06-16|2018|6|16|https://genius.com/songs/3786904/apple_music_player
4124224|Mia Khalifa (Russian Parody)|2018-11-28|2018|11|28|https://genius.com/songs/4124224/apple_music_player
3870887|Throw It Away|2018-07-26|2018|7|26|https://genius.com/songs/3870887/apple_music_player
3880403|MOLLY|2018-08-04|2018|8|4|https://genius.com/songs/3880403/apple_music_player
3774636|Come Over|2018-06-09|2018|6|9|https://genius.com/songs/3774636/apple_music_player
4077810|FUCK iT|||||https://genius.com/songs/4077810/apple_music_player
4017178|LONG HAiR (Snippet)*|||||https://genius.com/songs/4017178/apple_music_player
4131129|Untitled|||||https://genius.com/songs/4131129/apple_music_player
4203842|WOAHHFRiDAY*|||||https://genius.com/songs/4203842/apple_music_player
4017162|PROMiSES*|||||https://genius.com/songs/4017162/apple_music_player
4178809|MAJiNFRiDAY*|||||https://genius.com/songs/4178809/apple_music_player
4128850|Mia Kahlifa (Remix)|2018-11-04|2018|11|4|https://genius.com/songs/4128850/apple_music_player
4131502|Crack Head Song|2017-12-26|2017|12|26|https://genius.com/songs/4131502/apple_music_player
4319412|Foreign Car*|||||https://genius.com/songs/4319412/apple_music_player
4319438|Oh Well*|||||https://genius.com/songs/4319438/apple_music_player
4319402|Get A Grip*|||||https://genius.com/songs/4319402/apple_music_player
4319435|Cheese Cake*|||||https://genius.com/songs/4319435/apple_music_player
92464|Love Sosa|2012-10-18|2012|10|18|https://genius.com/songs/92464/apple_music_player
72024|Don't Like.1|2012-09-14|2012|9|14|https://genius.com/songs/72024/apple_music_player
73573|I Don't Like|2012-03-11|2012|3|11|https://genius.com/songs/73573/apple_music_player
94434|Guap|2012-10-26|2012|10|26|https://genius.com/songs/94434/apple_music_player
92297|Hate Bein' Sober|2012-12-12|2012|12|12|https://genius.com/songs/92297/apple_music_player
531808|Earned It|2014-10-04|2014|10|4|https://genius.com/songs/531808/apple_music_player
171407|Guilt Trip|2013-06-18|2013|6|18|https://genius.com/songs/171407/apple_music_player
69520|3hunna|2012-01-17|2012|1|17|https://genius.com/songs/69520/apple_music_player
98531|Ocho Cinco|2013-05-21|2013|5|21|https://genius.com/songs/98531/apple_music_player
96893|Kobe|2012-12-18|2012|12|18|https://genius.com/songs/96893/apple_music_player
235678|Bang Bros|2013-10-10|2013|10|10|https://genius.com/songs/235678/apple_music_player
220872|RTC|2013-09-20|2013|9|20|https://genius.com/songs/220872/apple_music_player
2289963|Ice Cream Man|2015-08-24|2015|8|24|https://genius.com/songs/2289963/apple_music_player
101216|Blocka|2013-01-28|2013|1|28|https://genius.com/songs/101216/apple_music_player
80444|Traffic|2012-10-15|2012|10|15|https://genius.com/songs/80444/apple_music_player
3795443|Hopeless Romantic|2018-06-21|2018|6|21|https://genius.com/songs/3795443/apple_music_player
139395|52 Bars Part 2|2013-10-10|2013|10|10|https://genius.com/songs/139395/apple_music_player
98841|Finally Rich|2012-12-18|2012|12|18|https://genius.com/songs/98841/apple_music_player
102389|Hallelujah|2012-12-18|2012|12|18|https://genius.com/songs/102389/apple_music_player
91924|Us|2012-10-08|2012|10|8|https://genius.com/songs/91924/apple_music_player
655381|My X|2015-01-06|2015|1|6|https://genius.com/songs/655381/apple_music_player
108461|Fuck Da World|2013-01-10|2013|1|10|https://genius.com/songs/108461/apple_music_player
695362|Decline|2015-02-01|2015|2|1|https://genius.com/songs/695362/apple_music_player
149974|10 2 10|2013-08-27|2013|8|27|https://genius.com/songs/149974/apple_music_player
74276|Save That Shit|2012-03-12|2012|3|12|https://genius.com/songs/74276/apple_music_player
87383|Mula|2012-09-12|2012|9|12|https://genius.com/songs/87383/apple_music_player
79878|I Don't Like (Remix)|2012-06-30|2012|6|30|https://genius.com/songs/79878/apple_music_player
76024|Us|2012-04-24|2012|4|24|https://genius.com/songs/76024/apple_music_player
103261|Have It All|2012-01-18|2012|1|18|https://genius.com/songs/103261/apple_music_player
72073|Everyday|2012-03-12|2012|3|12|https://genius.com/songs/72073/apple_music_player
2876321|Can You Be My Friend|2017-02-24|2017|2|24|https://genius.com/songs/2876321/apple_music_player
102650|Diamonds|2012-12-18|2012|12|18|https://genius.com/songs/102650/apple_music_player
604594|Colors|2014-12-03|2014|12|3|https://genius.com/songs/604594/apple_music_player
87149|I Don't Like|2012-09-03|2012|9|3|https://genius.com/songs/87149/apple_music_player
103269|3Hunna K (BDK)|2012-04-27|2012|4|27|https://genius.com/songs/103269/apple_music_player
96096|Devil Wants My Soul|2012-11-06|2012|11|6|https://genius.com/songs/96096/apple_music_player
102626|Blocka La Flame|2013-05-21|2013|5|21|https://genius.com/songs/102626/apple_music_player
81629|Beef|2012-04-26|2012|4|26|https://genius.com/songs/81629/apple_music_player
83655|OTF|2012-06-20|2012|6|20|https://genius.com/songs/83655/apple_music_player
304741|Got Me Some More|2014-08-19|2014|8|19|https://genius.com/songs/304741/apple_music_player
68912|I Don't Know Dem|2012-01-25|2012|1|25|https://genius.com/songs/68912/apple_music_player
91491|Gang Bang|2012-02-24|2012|2|24|https://genius.com/songs/91491/apple_music_player
270814|10 2 10 (Remix)|2013-12-31|2013|12|31|https://genius.com/songs/270814/apple_music_player
207160|Mula (Remix)|2013-08-27|2013|8|27|https://genius.com/songs/207160/apple_music_player
424019|Party|2014-07-07|2014|7|7|https://genius.com/songs/424019/apple_music_player
151958|Paranoid|2013-05-21|2013|5|21|https://genius.com/songs/151958/apple_music_player
96570|Foreign Cars|2012-11-06|2012|11|6|https://genius.com/songs/96570/apple_music_player
3498005|T'd Up|2018-02-05|2018|2|5|https://genius.com/songs/3498005/apple_music_player
468307|I Go|2014-07-04|2014|7|4|https://genius.com/songs/468307/apple_music_player
541930|Valley|2014-10-14|2014|10|14|https://genius.com/songs/541930/apple_music_player
200911|No Heart, No Love|2013-08-23|2013|8|23|https://genius.com/songs/200911/apple_music_player
3121341|Get High|2017-06-16|2017|6|16|https://genius.com/songs/3121341/apple_music_player
87742|Right Here|2012-08-08|2012|8|8|https://genius.com/songs/87742/apple_music_player
328767|Paranoid (Remix)|||||https://genius.com/songs/328767/apple_music_player
87306|Woke Up|2012-09-05|2012|9|5|https://genius.com/songs/87306/apple_music_player
355995|All I Care About|2014-02-05|2014|2|5|https://genius.com/songs/355995/apple_music_player
2824893|Super Powers|2016-07-22|2016|7|22|https://genius.com/songs/2824893/apple_music_player
80533|Monster|2012-03-14|2012|3|14|https://genius.com/songs/80533/apple_music_player
546691|Bodies|2014-10-19|2014|10|19|https://genius.com/songs/546691/apple_music_player
1792254|What Your Life Like|2015-06-02|2015|6|2|https://genius.com/songs/1792254/apple_music_player
328232|Wife Er|2013-07-16|2013|7|16|https://genius.com/songs/328232/apple_music_player
70995|3Hunna Remix|2012-03-12|2012|3|12|https://genius.com/songs/70995/apple_music_player
81079|Winning|2012-03-14|2012|3|14|https://genius.com/songs/81079/apple_music_player
100339|Spread Da Word|||||https://genius.com/songs/100339/apple_music_player
347899|Familiar|2014-01-21|2014|1|21|https://genius.com/songs/347899/apple_music_player
441711|I Want the Love|2014-06-09|2014|6|9|https://genius.com/songs/441711/apple_music_player
